Date,Time,Ticker,open,high,low,close,volume
20220705,13:35:00,AAPL,139.86,139.92,139.8509,139.885,113345
20220705,13:36:00,AAPL,139.89,140.05,139.84,140.025,169877
20220705,13:37:00,AAPL,140.02,140.06,139.9497,140.015,135727
20220705,13:38:00,AAPL,140.01,140.06,139.99,140.0499,105117
20220705,13:39:00,AAPL,140.0513,140.11,140.01,140.0299,130349
20220705,13:40:00,AAPL,140.03,140.075,139.9699,140.0286,109268
20220705,13:41:00,AAPL,140.03,140.12,140.03,140.09,60709
20220705,13:42:00,AAPL,140.085,140.15,140.06,140.1482,64054
20220705,13:43:00,AAPL,140.14,140.179,139.93,139.955,162004
20220705,13:44:00,AAPL,139.95,139.965,139.85,139.8726,98292
20220705,13:45:00,AAPL,139.88,139.9283,139.78,139.81,77569
20220705,13:46:00,AAPL,139.81,139.8999,139.81,139.85,60121
20220705,13:47:00,AAPL,139.85,139.85,139.72,139.735,103720
20220705,13:48:00,AAPL,139.7334,139.7334,139.64,139.72,92335
20220705,13:49:00,AAPL,139.715,139.8299,139.71,139.81,112618
20220705,13:50:00,AAPL,139.815,139.89,139.78,139.86,66795
20220705,13:51:00,AAPL,139.86,139.95,139.83,139.94,57223
20220705,13:52:00,AAPL,139.94,139.94,139.86,139.905,54689
20220705,13:53:00,AAPL,139.92,139.9759,139.9101,139.94,77876
20220705,13:54:00,AAPL,139.95,140.02,139.93,139.975,92704
20220705,13:55:00,AAPL,139.97,140.0,139.92,139.955,50636
20220705,13:56:00,AAPL,139.96,139.98,139.85,139.885,66026
20220705,13:57:00,AAPL,139.88,140.04,139.87,140.04,78984
20220705,13:58:00,AAPL,140.02,140.04,139.9595,140.0116,70315
20220705,13:59:00,AAPL,140.0101,140.06,140.01,140.05,65074
20220705,14:00:00,AAPL,140.0504,140.055,139.935,139.961,63387
20220705,14:01:00,AAPL,139.965,140.05,139.93,140.0499,57816
20220705,14:02:00,AAPL,140.0461,140.115,140.03,140.11,104901
20220705,14:03:00,AAPL,140.11,140.2225,140.1,140.205,148509
20220705,14:04:00,AAPL,140.2009,140.36,140.2005,140.325,151763
20220705,14:05:00,AAPL,140.32,140.32,140.1607,140.21,111019
20220705,14:06:00,AAPL,140.2,140.2,140.07,140.09,78457
20220705,14:07:00,AAPL,140.09,140.155,140.03,140.1135,69018
20220705,14:08:00,AAPL,140.115,140.17,139.97,139.985,84960
20220705,14:09:00,AAPL,139.97,140.04,139.94,140.015,83252
20220705,14:10:00,AAPL,140.02,140.09,139.94,139.96,74056
20220705,14:11:00,AAPL,139.96,140.08,139.885,140.0079,104348
20220705,14:12:00,AAPL,140.01,140.09,139.99,140.0799,72416
20220705,14:13:00,AAPL,140.08,140.12,140.03,140.0418,62666
20220705,14:14:00,AAPL,140.045,140.105,140.0199,140.08,67834
20220705,14:15:00,AAPL,140.09,140.115,140.01,140.025,55756
20220705,14:16:00,AAPL,140.025,140.065,139.89,139.95,94078
20220705,14:17:00,AAPL,139.97,140.115,139.97,140.085,98671
20220705,14:18:00,AAPL,140.08,140.15,140.03,140.145,42076
20220705,14:19:00,AAPL,140.14,140.28,140.12,140.25,90289
20220705,14:20:00,AAPL,140.26,140.28,140.15,140.23,73011
20220705,14:21:00,AAPL,140.22,140.2299,140.1501,140.195,35527
20220705,14:22:00,AAPL,140.2,140.3,140.2,140.25,65235
20220705,14:23:00,AAPL,140.25,140.39,140.2,140.3622,129097
20220705,14:24:00,AAPL,140.37,140.39,140.31,140.38,78223
20220705,14:25:00,AAPL,140.38,140.49,140.32,140.46,122710
20220705,14:26:00,AAPL,140.465,140.57,140.43,140.55,135943
20220705,14:27:00,AAPL,140.555,140.62,140.5399,140.595,154452
20220705,14:28:00,AAPL,140.6,140.63,140.56,140.61,72538
20220705,14:29:00,AAPL,140.615,140.685,140.58,140.6,143500
20220705,14:30:00,AAPL,140.605,140.765,140.6,140.765,121786
20220705,14:31:00,AAPL,140.76,140.87,140.71,140.7415,210117
20220705,14:32:00,AAPL,140.74,140.79,140.665,140.785,104284
20220705,14:33:00,AAPL,140.79,140.91,140.74,140.79,161084
20220705,14:34:00,AAPL,140.79,141.0,140.73,140.98,196851
20220705,14:35:00,AAPL,140.98,141.07,140.89,141.07,319909
20220705,14:36:00,AAPL,141.07,141.17,140.93,141.16,221706
20220705,14:37:00,AAPL,141.17,141.2,141.1,141.125,122111
20220705,14:38:00,AAPL,141.1229,141.23,141.08,141.2,110897
20220705,14:39:00,AAPL,141.185,141.395,141.185,141.385,175226
