,Unnamed: 0,Ticker,open,high,low,close,volume,Date
209883,302,MMM,36.875,37.65625,36.1875,37.21875,2110200,19981214
210394,302,MMM,37.0625,37.0625,35.625,35.75,4685200,19990319
210969,365,MMM,167.1,169.54,165.27,166.87,2987595,20200608
211515,310,MMM,46.125,46.46875,45.09375,45.40625,2506600,19991013
212101,374,MMM,193.99,195.61,192.36,195.13,4182229,20170425
212687,338,MMM,64.755,65.115,63.575,63.75,4322400,20021118
213278,363,MMM,80.65,80.8,79.29,79.59,1793800,20060622
213852,337,MMM,54.625,55.25,54.3,54.845,3949800,20020206
214445,371,MMM,76.36,77.89,76.31,77.58,3557711,20070419
214989,303,MMM,37.34375,37.53125,36.90625,37.1875,1929600,19981228
215564,366,MMM,191.51,195.86,188.63,194.45,5224962,20210427
216102,302,MMM,35.9375,36.0625,35.125,35.4375,3027600,19990325
216686,374,MMM,68.8,69.69,68.25,69.45,4302464,20080926
217315,381,MMM,90.68,91.19,90.49,90.95,2285523,20121130
217943,374,MMM,190.8,191.13,189.52,189.83,1340386,20170419
218577,386,MMM,140.61,141.33,139.77,141.26,2506009,20150911
219124,290,MMM,40.875,40.96875,40.03125,40.375,1913800,19980122
219631,304,MMM,35.375,35.6875,35.03125,35.375,2101000,19990331
220216,375,MMM,211.49,212.59,210.64,211.07,1677749,20180926
220784,326,MMM,58.0,58.4,55.5,55.9,5499600,20010312
221348,345,MMM,82.54,83.9,81.67,83.64,3102700,20040525
221950,371,MMM,182.04,183.1055,180.13,183.04,6517556,20190506
222555,365,MMM,165.52,167.49,164.75,165.86,2884061,20200813
223174,381,MMM,83.52,84.09,82.87,83.37,3954951,20100115
223803,381,MMM,76.18,79.15,75.71,78.36,4167312,20111018
224427,376,MMM,59.42,59.8,58.35,59.53,4082739,20090512
225065,389,MMM,155.59,156.31,154.44,155.41,3067734,20150722
225698,375,MMM,68.66,70.05,67.57,69.78,6353017,20080701
226321,376,MMM,58.74,59.36,57.83,59.14,5067034,20090506
226944,374,MMM,68.61,68.67,67.26,67.69,8229925,20080715
227555,364,MMM,155.99,158.42,155.07,158.33,2184531,20200807
228119,326,MMM,56.75,56.75,55.94,56.125,3172200,20010306
228698,359,MMM,74.8,74.95,74.0,74.71,2857200,20050722
229262,331,MMM,51.58,51.95,50.7,51.475,4013800,20011018
229847,363,MMM,68.55,68.94,68.37,68.53,3368400,20060811
230429,344,MMM,83.0,84.43,82.21,82.31,2578000,20040519
230993,333,MMM,53.15,53.195,52.0,52.68,4158000,20011030
231595,379,MMM,178.25,179.0099,177.37,178.57,1799474,20160805
232227,381,MMM,81.35,81.88,80.18,80.49,4347174,20100129
232856,381,MMM,80.32,82.4,80.23,82.18,5428807,20111024
233483,379,MMM,179.08,181.1,178.88,181.0,2043437,20160811
234119,385,MMM,140.07,142.0,139.98,141.67,1529159,20140519
234749,374,MMM,69.77,70.57,69.55,70.49,3599573,20080729
235380,384,MMM,86.79,86.86,86.23,86.47,1890335,20101223
235960,332,MMM,53.4,53.62,53.0,53.35,3121200,20011024
236564,381,MMM,77.98,78.4,75.97,77.02,5788879,20111026
237170,358,MMM,73.9,75.24,73.6,75.0,3345000,20050708
