open,high,low,close,volume,Date,Time
2288.33,2289.7,2285.51,2285.94,5438,20220706,14:33:00
2285.5,2287.9999,2284.31,2284.635,1397,20220706,14:34:00
2284.0,2284.14,2282.325,2284.14,1336,20220706,14:35:00
2284.68,2285.18,2283.81,2284.18,733,20220706,14:36:00
2285.63,2285.63,2281.12,2282.98,1955,20220706,14:37:00
2285.34,2285.36,2282.74,2282.74,375,20220706,14:38:00
2286.7,2286.805,2284.3896,2285.22,949,20220706,14:39:00
2286.22,2286.86,2282.795,2284.41,1080,20220706,14:40:00
2284.1005,2284.73,2283.0,2284.73,780,20220706,14:41:00
2285.17,2288.9,2285.17,2288.6518,900,20220706,14:42:00
2289.46,2292.595,2289.02,2292.5,1560,20220706,14:43:00
2291.4,2291.68,2290.204,2290.204,1060,20220706,14:44:00
2291.67,2291.825,2289.13,2289.2255,1443,20220706,14:45:00
2292.6399,2292.6399,2290.15,2290.15,1100,20220706,14:46:00
2288.03,2290.19,2288.03,2288.925,1160,20220706,14:47:00
2288.3,2290.82,2288.0,2288.275,780,20220706,14:48:00
2286.3755,2286.3755,2285.9,2285.9,460,20220706,14:49:00
2285.8301,2288.07,2285.8301,2288.07,638,20220706,14:50:00
2288.2905,2288.2905,2284.3685,2285.08,2646,20220706,14:51:00
2287.72,2288.6736,2287.72,2288.6736,616,20220706,14:52:00
2288.5,2289.13,2287.715,2289.13,928,20220706,14:53:00
2289.0,2290.525,2289.0,2289.46,400,20220706,14:54:00
2288.73,2288.73,2285.08,2285.45,2260,20220706,14:55:00
2286.2001,2287.2,2285.48,2287.2,780,20220706,14:56:00
2288.245,2288.97,2287.51,2288.97,480,20220706,14:57:00
2287.84,2289.81,2287.84,2289.81,400,20220706,14:58:00
2292.22,2292.22,2291.605,2291.605,438,20220706,14:59:00
2291.11,2292.101,2289.7,2292.101,560,20220706,15:00:00
2289.71,2289.71,2289.71,2289.71,390,20220706,15:01:00
2290.9,2290.9,2288.515,2288.515,1099,20220706,15:02:00
2287.64,2287.64,2284.81,2284.81,760,20220706,15:03:00
2282.69,2283.92,2281.74,2283.92,1080,20220706,15:04:00
2284.18,2284.18,2283.31,2283.9984,480,20220706,15:05:00
2286.1,2286.11,2283.695,2284.35,980,20220706,15:06:00
2284.38,2284.54,2282.68,2283.81,780,20220706,15:07:00
2284.5499,2285.955,2284.2546,2285.955,873,20220706,15:08:00
2286.0726,2286.0726,2282.93,2283.345,1160,20220706,15:09:00
2282.36,2282.9899,2279.81,2280.14,1280,20220706,15:10:00
2280.405,2281.57,2279.52,2281.57,1303,20220706,15:11:00
2281.57,2284.846,2281.32,2283.4,3779,20220706,15:12:00
2284.15,2284.15,2283.36,2283.84,480,20220706,15:13:00
2283.84,2283.84,2282.62,2283.64,880,20220706,15:14:00
2286.9562,2286.9562,2286.85,2286.92,300,20220706,15:15:00
2285.7,2286.82,2283.75,2285.91,1439,20220706,15:16:00
