Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C3000,20220420,SPX,20220520,3000.0,C,0.0,0.0,0.0,0.0,0,15,1460.8,15,1470.0,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9996,0.0,-0.0116,0.0165,244.3113,15,1461.2,15,1472.9,4434.6602,4694.96,0.0,6804,
.SPX20220520P3000,20220420,SPX,20220520,3000.0,P,0.85,0.95,0.7,0.9,523,2381,0.8,4247,0.95,4467.9902,4469.3198,4465.75,4468.6401,0.5399,-0.0039,0.0,-0.1348,0.1485,-1.4992,1872,0.8,2386,1.0,4434.6602,4694.96,0.8788,19548,
.SPX20220520C3025,20220420,SPX,20220520,3025.0,C,0.0,0.0,0.0,0.0,0,15,1436.2,15,1445.5,4467.9902,4469.3198,4465.75,4468.6401,0.4329,0.9993,0.0,-0.0211,0.029,246.2245,15,1438.2,15,1446.1,4434.6602,4694.96,0.0,7,
.SPX20220520P3025,20220420,SPX,20220520,3025.0,P,0.85,0.95,0.85,0.95,349,2545,0.85,4258,1.0,4467.9902,4469.3198,4465.75,4468.6401,0.5328,-0.0042,0.0,-0.1407,0.1571,-1.5964,1804,0.85,2313,1.05,4434.6602,4694.96,0.8546,964,
.SPX20220520C3050,20220420,SPX,20220520,3050.0,C,0.0,0.0,0.0,0.0,0,15,1411.2,15,1420.6,4467.9902,4469.3198,4465.75,4468.6401,0.4381,0.9991,0.0,-0.0296,0.0401,248.1573,15,1411.5,15,1423.2,4434.6602,4694.96,0.0,9,
.SPX20220520P3050,20220420,SPX,20220520,3050.0,P,0.9,1.0,0.9,1.0,346,2381,0.9,4277,1.05,4467.9902,4469.3198,4465.75,4468.6401,0.5256,-0.0044,0.0,-0.1467,0.1659,-1.6965,1792,0.9,2270,1.1,4434.6602,4694.96,0.9053,2690,
.SPX20220520C3075,20220420,SPX,20220520,3075.0,C,0.0,0.0,0.0,0.0,0,15,1386.3,15,1395.2,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9985,0.0,-0.0467,0.0617,249.987,15,1388.3,15,1396.2,4434.6602,4694.96,0.0,8,
.SPX20220520P3075,20220420,SPX,20220520,3075.0,P,0.95,1.05,0.95,1.05,302,2545,0.95,4113,1.1,4467.9902,4469.3198,4465.75,4468.6401,0.5183,-0.0047,0.0,-0.1524,0.1749,-1.7989,1426,0.95,1723,1.15,4434.6602,4694.96,0.955,855,
.SPX20220520C3100,20220420,SPX,20220520,3100.0,C,0.0,0.0,0.0,0.0,0,15,1361.4,15,1370.3,4467.9902,4469.3198,4465.75,4468.6401,0.4078,0.9993,0.0,-0.0212,0.0309,252.3182,30,1359.2,15,1375.7,4434.6602,4694.96,0.0,5,
.SPX20220520P3100,20220420,SPX,20220520,3100.0,P,1.0,1.1,0.9,1.1,343,2544,1.0,4091,1.15,4467.9902,4469.3198,4465.75,4468.6401,0.5109,-0.005,0.0,-0.1582,0.1842,-1.9059,1986,1.0,2043,1.2,4434.6602,4694.96,1.0082,7615,
